epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.35057,1.37653,3.45898,1.17672,0.00583,0.8,0.03136,0.01971,1.32704,3.38464,0.94706,0.00010002,0.00010002,0.00010002
2,2.25783,1.20059,3.27959,1.1063,0.00688,0.8,0.427,0.32089,1.33037,3.22299,0.8786,0.00021528,0.00021528,0.00021528
3,3.14745,1.12048,2.99455,1.05252,0.00583,0.7,0.48141,0.37576,1.32814,3.2286,0.85629,0.000328999,0.000328999,0.000328999
4,4.00704,1.07729,2.64147,1.03867,0.00808,0.8,0.5243,0.40091,1.22563,3.20355,0.86297,0.000441178,0.000441178,0.000441178
5,4.9118,1.14772,2.31798,1.04369,0.00948,0.9,0.50572,0.30249,1.37121,3.22879,0.98741,0.000551817,0.000551817,0.000551817
6,5.77194,1.10178,2.00257,1.01625,0.00706,0.8,0.51101,0.37014,1.19278,3.12312,0.94407,0.000660915,0.000660915,0.000660915
7,6.59558,1.13129,1.77783,0.98933,0.00706,0.8,0.51101,0.37014,1.19278,3.12312,0.94407,0.000768474,0.000768474,0.000768474
8,7.42575,1.16005,1.75622,1.0698,0.00658,0.8,0.59925,0.43512,1.2567,2.97482,0.92365,0.000874492,0.000874492,0.000874492
9,8.26868,1.17632,1.83038,1.09216,0.9874,0.5,0.61272,0.46843,1.53061,2.64753,0.99819,0.000978969,0.000978969,0.000978969
10,9.10314,1.24977,1.60039,1.10055,0.9874,0.5,0.61272,0.46843,1.53061,2.64753,0.99819,0.00108191,0.00108191,0.00108191
11,9.97749,1.25709,1.7529,1.0841,0.99643,0.5,0.66364,0.36749,1.66399,2.4746,1.14884,0.0011833,0.0011833,0.0011833
12,10.8005,1.24096,1.81676,1.12301,0.99643,0.5,0.66364,0.36749,1.66399,2.4746,1.14884,0.00128316,0.00128316,0.00128316
13,11.6517,1.17888,1.37627,1.03152,0.98849,0.5,0.67417,0.44715,1.52861,2.35674,1.08798,0.00138148,0.00138148,0.00138148
14,12.4758,1.16782,1.56151,1.0217,0.98849,0.5,0.67417,0.44715,1.52861,2.35674,1.08798,0.00147825,0.00147825,0.00147825
15,13.3154,1.14276,1.42105,1.00618,0.89159,0.5,0.72,0.34957,1.65854,2.45603,1.10909,0.00151297,0.00151297,0.00151297
16,14.1305,1.1966,1.51889,1.03341,0.89159,0.5,0.72,0.34957,1.65854,2.45603,1.10909,0.00150197,0.00150197,0.00150197
17,14.9984,1.14716,1.4354,1.03861,0.91845,0.7,0.75624,0.47512,1.41102,1.78136,1.07201,0.00149096,0.00149096,0.00149096
18,15.9396,1.06643,1.41201,1.00685,0.91845,0.7,0.75624,0.47512,1.41102,1.78136,1.07201,0.00147996,0.00147996,0.00147996
19,16.9774,1.02907,1.29502,0.95823,0.91845,0.7,0.75624,0.47512,1.41102,1.78136,1.07201,0.00146896,0.00146896,0.00146896
20,17.9742,1.11845,1.47711,0.99636,0.95886,0.68805,0.77267,0.52561,1.26706,1.50021,0.95149,0.00145796,0.00145796,0.00145796
21,18.977,1.0057,1.22289,0.96374,0.95886,0.68805,0.77267,0.52561,1.26706,1.50021,0.95149,0.00144696,0.00144696,0.00144696
22,20.02,1.12808,1.34129,0.99745,0.84181,0.8,0.79585,0.58016,1.18602,1.49691,0.86605,0.00143595,0.00143595,0.00143595
23,21.0737,1.03808,1.50053,0.97536,0.84181,0.8,0.79585,0.58016,1.18602,1.49691,0.86605,0.00142495,0.00142495,0.00142495
