epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,29.0101,0.97165,1.20068,0.97998,0.98583,0.5,0.995,0.68387,1.03281,1.75715,0.93107,0.00120491,0.00120491,0.00120491
44,29.8284,0.96254,1.12938,0.89652,0.98583,0.5,0.995,0.68387,1.03281,1.75715,0.93107,0.00119391,0.00119391,0.00119391
45,30.5699,0.8331,1.19673,0.90283,0.8249,1,0.995,0.67567,0.82093,1.14627,0.77988,0.0011829,0.0011829,0.0011829
46,31.2915,0.86517,1.31393,0.97995,0.8249,1,0.995,0.67567,0.82093,1.14627,0.77988,0.0011719,0.0011719,0.0011719
47,32.0623,0.93645,1.21923,0.93802,0.8249,1,0.995,0.67567,0.82093,1.14627,0.77988,0.0011609,0.0011609,0.0011609
48,32.7707,0.87021,1.11387,0.93087,0.8249,1,0.995,0.67567,0.82093,1.14627,0.77988,0.0011499,0.0011499,0.0011499
49,33.4285,0.94069,1.26137,0.97801,0.8249,1,0.995,0.67567,0.82093,1.14627,0.77988,0.00113889,0.00113889,0.00113889
50,34.1639,0.87418,1.19543,0.95482,0.77388,1,0.995,0.64001,0.90883,1.06048,0.78997,0.00112789,0.00112789,0.00112789
51,34.8395,0.82375,1.2417,0.88603,0.77388,1,0.995,0.64001,0.90883,1.06048,0.78997,0.00111689,0.00111689,0.00111689
52,35.5334,0.99685,1.23202,0.95374,0.77388,1,0.995,0.64001,0.90883,1.06048,0.78997,0.00110589,0.00110589,0.00110589
53,36.2696,0.78206,1.24946,0.90943,0.77388,1,0.995,0.64001,0.90883,1.06048,0.78997,0.00109489,0.00109489,0.00109489
54,37.0063,0.86326,1.2114,0.87314,0.77388,1,0.995,0.64001,0.90883,1.06048,0.78997,0.00108388,0.00108388,0.00108388
55,37.7627,0.82866,1.34397,0.92469,0.77388,1,0.995,0.64001,0.90883,1.06048,0.78997,0.00107288,0.00107288,0.00107288
56,38.5334,0.94407,1.24078,0.93654,0.72897,1,0.995,0.72125,0.87201,1.12173,0.80928,0.00106188,0.00106188,0.00106188
57,39.2632,0.77799,1.25023,0.91298,0.72897,1,0.995,0.72125,0.87201,1.12173,0.80928,0.00105088,0.00105088,0.00105088
58,40.035,0.99446,1.59012,0.99108,0.72897,1,0.995,0.72125,0.87201,1.12173,0.80928,0.00103987,0.00103987,0.00103987
59,40.719,0.8266,1.23854,0.92605,0.72897,1,0.995,0.72125,0.87201,1.12173,0.80928,0.00102887,0.00102887,0.00102887
60,41.4744,0.81777,1.09515,0.90884,0.72897,1,0.995,0.72125,0.87201,1.12173,0.80928,0.00101787,0.00101787,0.00101787
61,42.2116,0.82456,1.13014,0.90951,0.68341,1,0.995,0.771,0.89673,1.32709,0.82302,0.00100687,0.00100687,0.00100687
62,42.9055,0.87233,1.27448,0.90656,0.68341,1,0.995,0.771,0.89673,1.32709,0.82302,0.000995866,0.000995866,0.000995866
63,43.6277,0.7502,1.0564,0.89899,0.68341,1,0.995,0.771,0.89673,1.32709,0.82302,0.000984864,0.000984864,0.000984864
64,44.3534,0.75399,1.18076,0.89115,0.68341,1,0.995,0.771,0.89673,1.32709,0.82302,0.000973861,0.000973861,0.000973861
65,45.0202,0.85407,1.25426,0.99349,0.68341,1,0.995,0.771,0.89673,1.32709,0.82302,0.000962859,0.000962859,0.000962859
66,45.7697,0.89685,1.26662,0.98887,0.84753,0.98931,0.995,0.83313,0.82139,1.14983,0.8002,0.000951857,0.000951857,0.000951857
67,46.5487,0.78491,1.1294,0.95055,0.84753,0.98931,0.995,0.83313,0.82139,1.14983,0.8002,0.000940855,0.000940855,0.000940855
68,47.28,0.8153,1.09616,0.91144,0.84753,0.98931,0.995,0.83313,0.82139,1.14983,0.8002,0.000929853,0.000929853,0.000929853
69,47.983,0.75763,1.10511,0.90255,0.84753,0.98931,0.995,0.83313,0.82139,1.14983,0.8002,0.00091885,0.00091885,0.00091885
70,48.6824,0.75533,1.31915,0.84476,0.84753,0.98931,0.995,0.83313,0.82139,1.14983,0.8002,0.000907848,0.000907848,0.000907848
71,49.4724,0.75039,1.08683,0.87925,0.84753,0.98931,0.995,0.83313,0.82139,1.14983,0.8002,0.000896846,0.000896846,0.000896846
72,50.2535,0.81282,1.13716,0.9489,0.93083,1,0.995,0.78337,0.8171,0.96118,0.85171,0.000885844,0.000885844,0.000885844
73,50.9572,0.84039,1.08877,0.91982,0.93083,1,0.995,0.78337,0.8171,0.96118,0.85171,0.000874842,0.000874842,0.000874842
74,51.642,0.73137,0.99585,0.89082,0.93083,1,0.995,0.78337,0.8171,0.96118,0.85171,0.000863839,0.000863839,0.000863839
75,52.3379,0.72378,0.9637,0.87123,0.93083,1,0.995,0.78337,0.8171,0.96118,0.85171,0.000852837,0.000852837,0.000852837
76,53.0165,0.81015,1.10685,0.94056,0.93083,1,0.995,0.78337,0.8171,0.96118,0.85171,0.000841835,0.000841835,0.000841835
77,53.7348,0.75374,0.97678,0.89413,0.96985,1,0.995,0.79575,0.85741,0.98629,0.8474,0.000830833,0.000830833,0.000830833
78,54.4484,0.73024,1.03629,0.92067,0.96985,1,0.995,0.79575,0.85741,0.98629,0.8474,0.000819831,0.000819831,0.000819831
79,55.1306,0.7002,0.94674,0.86257,0.96985,1,0.995,0.79575,0.85741,0.98629,0.8474,0.000808828,0.000808828,0.000808828
80,55.9567,0.76153,0.87939,0.87265,0.96985,1,0.995,0.79575,0.85741,0.98629,0.8474,0.000797826,0.000797826,0.000797826
81,56.7803,0.71822,1.17813,0.8981,0.96985,1,0.995,0.79575,0.85741,0.98629,0.8474,0.000786824,0.000786824,0.000786824
82,57.5337,0.75424,1.12817,0.91158,0.97636,1,0.995,0.79575,0.85338,0.9192,0.83771,0.000775822,0.000775822,0.000775822
83,58.2451,0.75744,1.05012,0.88546,0.97636,1,0.995,0.79575,0.85338,0.9192,0.83771,0.00076482,0.00076482,0.00076482
84,58.9615,0.75554,1.00719,0.90847,0.97636,1,0.995,0.79575,0.85338,0.9192,0.83771,0.000753817,0.000753817,0.000753817
85,59.6787,0.73791,0.97396,0.86297,0.97636,1,0.995,0.79575,0.85338,0.9192,0.83771,0.000742815,0.000742815,0.000742815
86,60.4055,0.76613,1.04896,0.92932,0.97636,1,0.995,0.79575,0.85338,0.9192,0.83771,0.000731813,0.000731813,0.000731813
87,61.0833,0.67031,1.02116,0.83801,0.97636,1,0.995,0.79575,0.85338,0.9192,0.83771,0.000720811,0.000720811,0.000720811
88,61.88,0.684,1.20204,0.9186,0.97806,1,0.995,0.78337,0.82862,0.9148,0.80132,0.000709809,0.000709809,0.000709809
89,62.5778,0.75744,1.01696,0.87473,0.97806,1,0.995,0.78337,0.82862,0.9148,0.80132,0.000698806,0.000698806,0.000698806
90,63.2667,0.71217,1.06774,0.90339,0.97806,1,0.995,0.78337,0.82862,0.9148,0.80132,0.000687804,0.000687804,0.000687804
91,64.0039,0.74093,0.9701,0.89239,0.97806,1,0.995,0.78337,0.82862,0.9148,0.80132,0.000676802,0.000676802,0.000676802
92,64.7481,0.7651,1.06617,0.90399,0.97806,1,0.995,0.78337,0.82862,0.9148,0.80132,0.0006658,0.0006658,0.0006658
93,65.4847,0.66422,0.96811,0.86314,0.97689,1,0.995,0.75837,0.79444,0.91228,0.79334,0.000654798,0.000654798,0.000654798
94,66.1706,0.61041,0.98242,0.85238,0.97689,1,0.995,0.75837,0.79444,0.91228,0.79334,0.000643795,0.000643795,0.000643795
95,66.8495,0.78572,1.09872,0.96766,0.97689,1,0.995,0.75837,0.79444,0.91228,0.79334,0.000632793,0.000632793,0.000632793
96,67.5209,0.6397,0.90064,0.89741,0.97689,1,0.995,0.75837,0.79444,0.91228,0.79334,0.000621791,0.000621791,0.000621791
