epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,51.1146,0.76866,0.92343,0.93152,0.72207,0.62827,0.66418,0.44615,1.32067,2.13504,1.12392,0.00091175,0.00091175,0.00091175
43,52.3185,0.77547,0.89261,0.91103,0.70256,0.62942,0.63543,0.4129,1.35139,2.14105,1.12115,0.0009035,0.0009035,0.0009035
44,53.5572,0.79041,1.02841,0.94241,0.6014,0.66741,0.63074,0.40348,1.28714,2.14564,1.08522,0.00089525,0.00089525,0.00089525
45,54.775,0.76011,0.92721,0.9202,0.63416,0.68523,0.64163,0.4433,1.1708,1.92143,1.02858,0.000887,0.000887,0.000887
46,55.9525,0.72524,0.90591,0.90983,0.68917,0.65814,0.64678,0.45203,1.14565,1.85079,1.01776,0.00087875,0.00087875,0.00087875
47,57.1998,0.81002,0.92055,0.93083,0.63795,0.70273,0.65414,0.45229,1.1237,1.83687,1.01429,0.0008705,0.0008705,0.0008705
48,58.4405,0.73313,0.90066,0.91855,0.68001,0.7048,0.63555,0.42911,1.15004,1.9278,1.04307,0.00086225,0.00086225,0.00086225
49,59.6669,0.71578,0.8698,0.90757,0.73112,0.59705,0.62822,0.41459,1.18108,2.03216,1.06255,0.000854,0.000854,0.000854
50,60.8877,0.73883,0.87847,0.91442,0.69129,0.65426,0.65517,0.44467,1.13909,2.04846,1.0541,0.00084575,0.00084575,0.00084575
51,62.0957,0.74197,0.88037,0.89522,0.66516,0.66415,0.66165,0.43771,1.08837,2.01536,1.03306,0.0008375,0.0008375,0.0008375
52,63.3,0.72787,0.85053,0.90393,0.60666,0.72206,0.65804,0.43519,1.11871,1.95627,1.01011,0.00082925,0.00082925,0.00082925
53,64.4985,0.73132,0.8946,0.92827,0.57027,0.77653,0.66163,0.44794,1.1132,1.85298,0.98355,0.000821,0.000821,0.000821
54,65.7538,0.66258,0.8544,0.88368,0.57849,0.78346,0.65357,0.46614,1.04476,1.79699,0.94745,0.00081275,0.00081275,0.00081275
55,67.0013,0.73582,0.89574,0.93018,0.60917,0.78974,0.65248,0.45751,1.04532,1.78726,0.93222,0.0008045,0.0008045,0.0008045
56,68.2772,0.68076,0.83831,0.87378,0.52367,0.79892,0.65709,0.46087,1.05704,1.7184,0.93346,0.00079625,0.00079625,0.00079625
57,69.5293,0.65474,0.80253,0.91156,0.66194,0.56653,0.66574,0.46623,1.15503,1.63749,0.97387,0.000788,0.000788,0.000788
58,70.7604,0.70643,0.79213,0.89593,0.62462,0.60137,0.64525,0.45385,1.17863,1.6301,0.99538,0.00077975,0.00077975,0.00077975
59,71.9889,0.71632,0.85348,0.91227,0.55997,0.65598,0.63338,0.46401,1.11943,1.60499,0.96123,0.0007715,0.0007715,0.0007715
60,73.2109,0.6875,0.82721,0.90999,0.61977,0.72633,0.65649,0.46594,1.10632,1.58256,0.93848,0.00076325,0.00076325,0.00076325
61,74.4404,0.67972,0.7932,0.88811,0.63267,0.71956,0.68792,0.47145,1.15565,1.6203,0.95025,0.000755,0.000755,0.000755
62,75.694,0.6768,0.75374,0.87713,0.63384,0.81013,0.70797,0.49325,1.04686,1.57449,0.92889,0.00074675,0.00074675,0.00074675
63,76.9307,0.61727,0.72068,0.87197,0.6925,0.75556,0.71078,0.49624,1.00682,1.57904,0.93866,0.0007385,0.0007385,0.0007385
64,78.1306,0.66617,0.77467,0.87987,0.70444,0.76475,0.71832,0.5104,1.00645,1.59783,0.93765,0.00073025,0.00073025,0.00073025
65,79.3666,0.67509,0.75883,0.9036,0.77792,0.68721,0.71873,0.48419,1.07085,1.62756,0.94363,0.000722,0.000722,0.000722
66,80.5725,0.67778,0.77975,0.90097,0.6882,0.71395,0.67804,0.44856,1.2353,1.63946,0.983,0.00071375,0.00071375,0.00071375
67,81.8101,0.67242,0.7792,0.8953,0.73834,0.71324,0.68186,0.43874,1.33551,1.6426,1.0311,0.0007055,0.0007055,0.0007055
68,83.0976,0.68524,0.76483,0.89763,0.71266,0.71969,0.68049,0.46413,1.24337,1.63858,1.00291,0.00069725,0.00069725,0.00069725
69,84.3482,0.7116,0.79614,0.90585,0.74309,0.79109,0.69,0.49113,1.10011,1.61534,0.97416,0.000689,0.000689,0.000689
70,85.5703,0.63829,0.74031,0.8758,0.73229,0.78069,0.69289,0.4888,1.08188,1.60363,0.95802,0.00068075,0.00068075,0.00068075
71,86.8401,0.60564,0.72644,0.85938,0.74193,0.65611,0.68488,0.48627,1.06041,1.56459,0.95091,0.0006725,0.0006725,0.0006725
72,88.1011,0.65943,0.76996,0.89388,0.80456,0.64353,0.70325,0.50251,1.11534,1.50114,0.97957,0.00066425,0.00066425,0.00066425
73,89.3169,0.69538,0.76432,0.88523,0.82756,0.63204,0.73829,0.5378,1.076,1.40646,0.96127,0.000656,0.000656,0.000656
74,90.5808,0.68664,0.77442,0.89118,0.80131,0.66567,0.7934,0.55179,1.0688,1.37506,0.9461,0.00064775,0.00064775,0.00064775
75,91.8025,0.61229,0.71044,0.86524,0.80047,0.66093,0.79529,0.55228,1.06448,1.36813,0.94567,0.0006395,0.0006395,0.0006395
76,93.0227,0.66795,0.72635,0.87433,0.78817,0.66236,0.7577,0.53035,1.02279,1.44378,0.93557,0.00063125,0.00063125,0.00063125
77,94.2192,0.67442,0.72775,0.89208,0.74589,0.73333,0.71979,0.51671,1.0868,1.50083,0.96412,0.000623,0.000623,0.000623
78,95.451,0.66033,0.70284,0.86996,0.73269,0.73333,0.7071,0.50268,1.08244,1.50226,0.96644,0.00061475,0.00061475,0.00061475
79,96.6371,0.69476,0.70576,0.90264,0.6976,0.69493,0.68858,0.50758,1.01093,1.47989,0.93866,0.0006065,0.0006065,0.0006065
80,97.8406,0.64924,0.72529,0.88732,0.71099,0.7196,0.69809,0.5115,0.97387,1.50033,0.91799,0.00059825,0.00059825,0.00059825
81,99.0722,0.61885,0.70721,0.88425,0.57696,0.76111,0.66524,0.4957,0.94998,1.62165,0.91161,0.00059,0.00059,0.00059
82,100.287,0.58414,0.68176,0.88052,0.66056,0.77055,0.66421,0.49725,0.94005,1.7123,0.91357,0.00058175,0.00058175,0.00058175
83,101.489,0.58433,0.65531,0.85865,0.62532,0.75732,0.68258,0.50899,0.92779,1.74031,0.90572,0.0005735,0.0005735,0.0005735
84,102.688,0.60706,0.67528,0.86157,0.70132,0.75977,0.72256,0.52828,0.93433,1.64285,0.90756,0.00056525,0.00056525,0.00056525
85,103.918,0.58642,0.65676,0.87916,0.68209,0.76411,0.71521,0.52834,0.97671,1.55551,0.91649,0.000557,0.000557,0.000557
86,105.12,0.56774,0.6588,0.85456,0.66718,0.783,0.74738,0.54147,0.99179,1.4091,0.9196,0.00054875,0.00054875,0.00054875
87,106.33,0.59323,0.65806,0.87319,0.79831,0.65882,0.77076,0.56108,0.96597,1.29285,0.92512,0.0005405,0.0005405,0.0005405
88,107.601,0.57609,0.65712,0.85529,0.75627,0.61862,0.74496,0.56027,0.9604,1.23402,0.93461,0.00053225,0.00053225,0.00053225
89,108.803,0.57111,0.67401,0.8716,0.72878,0.6248,0.74265,0.55551,0.98426,1.22323,0.94564,0.000524,0.000524,0.000524
90,110.021,0.5606,0.68644,0.87691,0.60544,0.77125,0.73167,0.53571,1.0232,1.24181,0.95699,0.00051575,0.00051575,0.00051575
91,111.227,0.57857,0.65973,0.87732,0.55903,0.78361,0.70934,0.51947,1.02245,1.2726,0.95305,0.0005075,0.0005075,0.0005075
92,112.442,0.57111,0.66009,0.88772,0.54117,0.81397,0.71264,0.5137,1.00512,1.30746,0.93589,0.00049925,0.00049925,0.00049925
93,113.691,0.57022,0.642,0.87935,0.50866,0.78834,0.72103,0.51892,1.00454,1.33684,0.93199,0.000491,0.000491,0.000491
94,114.914,0.54028,0.63011,0.86986,0.54059,0.78666,0.72919,0.51091,1.01196,1.30863,0.93116,0.00048275,0.00048275,0.00048275
95,116.468,0.49413,0.60546,0.85379,0.54589,0.87241,0.73586,0.53019,0.99716,1.29569,0.91208,0.0004745,0.0004745,0.0004745
96,117.763,0.59048,0.65399,0.86552,0.61696,0.73806,0.73072,0.50032,1.02009,1.32706,0.91769,0.00046625,0.00046625,0.00046625
97,118.98,0.5933,0.67549,0.88007,0.61736,0.68803,0.68632,0.47743,1.02265,1.32452,0.92422,0.000458,0.000458,0.000458
98,120.213,0.5499,0.66069,0.86872,0.61854,0.72967,0.69283,0.4876,1.0135,1.31871,0.92602,0.00044975,0.00044975,0.00044975
99,121.425,0.51962,0.61589,0.84599,0.63053,0.73952,0.68527,0.49354,0.98468,1.28319,0.9219,0.0004415,0.0004415,0.0004415
100,122.666,0.54919,0.62306,0.86367,0.60463,0.78091,0.68015,0.4904,0.97957,1.27105,0.92191,0.00043325,0.00043325,0.00043325
101,123.865,0.56562,0.61548,0.87431,0.62067,0.75463,0.73832,0.53026,0.98283,1.25647,0.91627,0.000425,0.000425,0.000425
102,125.061,0.50884,0.59791,0.8486,0.64542,0.70663,0.74972,0.54953,0.96988,1.23335,0.91258,0.00041675,0.00041675,0.00041675
103,126.252,0.5573,0.64005,0.8689,0.6576,0.74656,0.76806,0.56039,0.95479,1.22791,0.91463,0.0004085,0.0004085,0.0004085
104,127.481,0.53898,0.59736,0.84599,0.81788,0.60526,0.78363,0.57292,0.93569,1.25685,0.90507,0.00040025,0.00040025,0.00040025
105,128.71,0.52918,0.59279,0.85392,0.89669,0.57892,0.77991,0.56928,0.94425,1.33136,0.90823,0.000392,0.000392,0.000392
106,129.983,0.47798,0.55779,0.8615,0.86465,0.62778,0.78239,0.55747,0.94012,1.3805,0.90891,0.00038375,0.00038375,0.00038375
107,131.239,0.50141,0.57833,0.85765,0.87854,0.63072,0.79089,0.53749,0.9602,1.45094,0.9169,0.0003755,0.0003755,0.0003755
108,132.485,0.511,0.57685,0.84852,0.87132,0.62308,0.77913,0.53218,0.96253,1.48617,0.92447,0.00036725,0.00036725,0.00036725
109,133.727,0.51173,0.56044,0.82559,0.89717,0.61437,0.758,0.5296,0.95509,1.52079,0.93172,0.000359,0.000359,0.000359
110,134.975,0.49554,0.56631,0.83866,0.89547,0.6149,0.7369,0.51615,0.98763,1.52469,0.93811,0.00035075,0.00035075,0.00035075
111,136.222,0.52648,0.55998,0.8372,0.89238,0.61433,0.77088,0.51841,0.98436,1.51422,0.92465,0.0003425,0.0003425,0.0003425
112,137.487,0.51011,0.55603,0.85073,0.5615,0.80278,0.71206,0.51424,0.97213,1.49718,0.91434,0.00033425,0.00033425,0.00033425
113,138.69,0.46821,0.57028,0.86391,0.89044,0.6115,0.77349,0.53063,0.97678,1.48596,0.91473,0.000326,0.000326,0.000326
114,139.914,0.49311,0.59126,0.84191,0.89209,0.61152,0.75872,0.54,0.96258,1.4515,0.90866,0.00031775,0.00031775,0.00031775
115,141.121,0.49024,0.58672,0.84716,0.64619,0.78337,0.76096,0.53543,0.96257,1.45504,0.90616,0.0003095,0.0003095,0.0003095
116,142.381,0.49507,0.55934,0.85758,0.67402,0.77712,0.7589,0.53983,0.9596,1.45163,0.9074,0.00030125,0.00030125,0.00030125
117,143.618,0.45513,0.54719,0.84576,0.66588,0.75788,0.73812,0.54357,0.95912,1.46155,0.89825,0.000293,0.000293,0.000293
118,144.804,0.4732,0.55839,0.83541,0.67083,0.65556,0.71254,0.53892,0.96423,1.44138,0.89578,0.00028475,0.00028475,0.00028475
119,145.998,0.49404,0.55076,0.83777,0.70171,0.67333,0.746,0.54348,0.95616,1.40086,0.89391,0.0002765,0.0002765,0.0002765
120,147.2,0.48986,0.56441,0.84837,0.69429,0.76919,0.76062,0.5501,0.9571,1.3547,0.89691,0.00026825,0.00026825,0.00026825
121,148.452,0.47491,0.53695,0.84343,0.69558,0.76974,0.76285,0.56429,0.9623,1.34624,0.90228,0.00026,0.00026,0.00026
122,149.694,0.46935,0.52799,0.84635,0.69623,0.79433,0.77312,0.55879,0.95038,1.33218,0.90442,0.00025175,0.00025175,0.00025175
123,150.945,0.47799,0.58433,0.85335,0.67654,0.80968,0.74731,0.55671,0.94583,1.30251,0.90451,0.0002435,0.0002435,0.0002435
124,152.174,0.52641,0.57995,0.85244,0.65338,0.78954,0.7252,0.54743,0.96761,1.31482,0.90782,0.00023525,0.00023525,0.00023525
125,153.404,0.50035,0.55058,0.84939,0.66109,0.75146,0.725,0.5471,0.99032,1.32168,0.90751,0.000227,0.000227,0.000227
126,154.588,0.48337,0.5484,0.87226,0.66839,0.7447,0.71969,0.5385,0.99891,1.30227,0.90955,0.00021875,0.00021875,0.00021875
127,155.761,0.4574,0.53131,0.84174,0.70844,0.72343,0.72994,0.5532,0.9784,1.28224,0.90542,0.0002105,0.0002105,0.0002105
128,156.989,0.46843,0.56391,0.84938,0.7089,0.73171,0.72455,0.54409,0.96877,1.28614,0.90992,0.00020225,0.00020225,0.00020225
129,158.234,0.42778,0.50805,0.83447,0.71665,0.73108,0.71977,0.54643,0.9653,1.3011,0.9129,0.000194,0.000194,0.000194
130,159.453,0.46142,0.5071,0.83232,0.66563,0.74332,0.72049,0.54535,0.95185,1.32636,0.91226,0.00018575,0.00018575,0.00018575
131,160.625,0.45795,0.52828,0.84909,0.66098,0.7875,0.71556,0.5463,0.94523,1.35861,0.91168,0.0001775,0.0001775,0.0001775
132,161.804,0.45463,0.54274,0.84135,0.65677,0.78184,0.71324,0.54249,0.94503,1.39499,0.90841,0.00016925,0.00016925,0.00016925
133,162.988,0.4209,0.50711,0.82394,0.69451,0.6692,0.69745,0.53699,0.96299,1.43121,0.90835,0.000161,0.000161,0.000161
134,164.167,0.44813,0.50279,0.83217,0.58531,0.74966,0.70113,0.53455,0.97392,1.42415,0.91055,0.00015275,0.00015275,0.00015275
