epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.0482,1.38734,3.82038,1.2158,0.00292,0.58333,0.02846,0.00793,1.34309,3.94175,0.95872,2.5e-05,2.5e-05,2.5e-05
2,28.2786,1.44208,3.77988,1.2263,0.00287,0.58333,0.06248,0.02642,1.19029,3.92615,0.86382,6.20875e-05,6.20875e-05,6.20875e-05
3,42.6401,1.31783,3.72642,1.16177,0.0031,0.61905,0.06217,0.0331,1.02885,3.76227,0.79035,9.868e-05,9.868e-05,9.868e-05
4,57.0117,1.06256,3.50214,1.01469,0.00352,0.65476,0.1567,0.10419,0.93403,3.66588,0.743,0.000134777,0.000134777,0.000134777
5,71.383,1.11034,3.29237,1.0237,0.00321,0.61905,0.25173,0.21473,0.80703,3.6469,0.69946,0.00017038,0.00017038,0.00017038
6,85.6095,1.00424,3.00415,1.01497,0.00323,0.61905,0.29455,0.25649,0.68765,3.62919,0.66784,0.000205487,0.000205487,0.000205487
7,99.8624,1.04881,2.87989,0.99276,0.00333,0.61905,0.29543,0.24324,0.74313,3.64333,0.6819,0.0002401,0.0002401,0.0002401
8,113.998,1.06966,2.66929,1.05905,0.00303,0.58333,0.2792,0.24238,0.81504,3.65084,0.70841,0.000274218,0.000274218,0.000274218
9,128.249,1.09241,2.59385,0.99641,0.00339,0.57738,0.26661,0.23486,0.91634,3.60174,0.75648,0.00030784,0.00030784,0.00030784
10,142.337,1.14001,2.2552,1.04311,0.00376,0.6131,0.26686,0.23269,0.92654,3.57853,0.76262,0.000340967,0.000340967,0.000340967
11,156.609,1.01006,1.98347,1.00328,0.00412,0.64881,0.26817,0.2351,0.92309,3.55731,0.76057,0.0003736,0.0003736,0.0003736
12,170.692,0.90186,1.90232,0.95015,0.00445,0.77381,0.30759,0.23782,0.90232,3.52206,0.75006,0.000405738,0.000405738,0.000405738
13,184.966,1.06537,1.91037,1.00725,0.00378,0.70238,0.30494,0.23817,0.8514,3.44116,0.72648,0.00043738,0.00043738,0.00043738
14,199.082,0.99246,1.77105,1.00407,0.00465,0.77381,0.29975,0.26248,0.86689,3.44907,0.74232,0.000468528,0.000468528,0.000468528
15,210.899,0.97981,1.80048,1.01388,0.00576,0.84524,0.30328,0.24492,0.8763,3.40594,0.75128,0.00049918,0.00049918,0.00049918
16,211.83,0.83548,1.54128,0.94438,0.00579,0.84524,0.29941,0.23373,0.86442,3.39215,0.73811,0.000529338,0.000529338,0.000529338
17,212.683,0.8846,1.54702,1.00241,0.00581,0.84524,0.25281,0.1868,0.89556,3.50628,0.75621,0.000559,0.000559,0.000559
18,213.514,0.95327,1.54355,0.94167,0.00575,0.84524,0.25204,0.17887,0.94393,3.54779,0.77929,0.000588167,0.000588167,0.000588167
19,214.337,0.95413,1.54993,0.96036,0.00547,0.84524,0.24281,0.19329,0.94487,3.49181,0.76095,0.00061684,0.00061684,0.00061684
20,215.136,0.91373,1.67937,0.96438,0.00504,0.84524,0.2976,0.22415,0.93798,3.4005,0.76313,0.000645018,0.000645018,0.000645018
21,215.999,1.03788,1.52359,0.99217,0.00465,0.80952,0.30479,0.24086,0.91338,3.34963,0.75083,0.0006727,0.0006727,0.0006727
22,216.838,0.97583,1.37492,0.98328,0.00395,0.7381,0.24843,0.19881,0.99581,3.29827,0.76637,0.000699888,0.000699888,0.000699888
23,217.647,0.95071,1.41998,1.0101,0.00403,0.7381,0.39464,0.22628,1.04148,3.20725,0.77352,0.00072658,0.00072658,0.00072658
24,218.469,0.96245,1.51012,0.93859,0.2749,0.36778,0.3999,0.26326,1.03847,3.19249,0.79486,0.000752778,0.000752778,0.000752778
25,219.314,0.85603,1.32833,0.94708,0.72987,0.21067,0.43256,0.27824,1.03923,3.20039,0.80711,0.00077848,0.00077848,0.00077848
26,220.158,0.98891,1.39337,0.98276,0.00522,0.84524,0.37063,0.23458,1.03367,3.22151,0.79014,0.000803688,0.000803688,0.000803688
27,221.001,0.86717,1.28459,0.92705,0.69196,0.16667,0.3732,0.2404,1.0085,3.0689,0.78733,0.0008284,0.0008284,0.0008284
28,221.848,0.92783,1.29977,0.94052,0.67209,0.20833,0.39636,0.28424,0.96815,2.89551,0.76754,0.000852618,0.000852618,0.000852618
29,222.654,0.93407,1.32166,1.0037,0.67209,0.20833,0.39636,0.28424,0.96815,2.89551,0.76754,0.00087634,0.00087634,0.00087634
30,223.494,0.92105,1.2856,0.95549,1,0.23692,0.37087,0.29962,0.92754,2.66032,0.73667,0.000899567,0.000899567,0.000899567
31,224.346,0.87948,1.2288,0.95419,1,0.24636,0.30664,0.2679,0.95976,2.65337,0.75761,0.0009223,0.0009223,0.0009223
32,225.192,0.91964,1.26251,0.95979,1,0.24311,0.31064,0.25693,0.97282,2.6439,0.76522,0.000944537,0.000944537,0.000944537
33,225.981,0.85913,1.22812,0.97374,1,0.24311,0.31064,0.25693,0.97282,2.6439,0.76522,0.00096628,0.00096628,0.00096628
34,226.796,0.87122,1.20089,0.95315,0.99628,0.25,0.36199,0.31745,0.90639,2.62786,0.76222,0.00097775,0.00097775,0.00097775
35,227.636,0.87358,1.16575,0.99337,0.74257,0.28425,0.38607,0.31856,0.89615,2.58128,0.75463,0.0009695,0.0009695,0.0009695
36,228.467,0.8401,1.12399,0.95828,0.51076,0.30237,0.42582,0.3501,0.89707,2.45671,0.72966,0.00096125,0.00096125,0.00096125
37,229.281,0.82471,1.0917,0.93663,0.51076,0.30237,0.42582,0.3501,0.89707,2.45671,0.72966,0.000953,0.000953,0.000953
38,230.109,0.83153,1.08863,0.92244,0.53175,0.30558,0.43503,0.34458,0.93061,2.40255,0.73342,0.00094475,0.00094475,0.00094475
39,230.931,0.78472,1.07434,0.92528,0.77041,0.29703,0.47244,0.36754,0.92633,2.31555,0.73707,0.0009365,0.0009365,0.0009365
40,231.764,0.8281,1.10267,0.92665,0.62398,0.43214,0.59168,0.4714,0.93341,2.23417,0.75708,0.00092825,0.00092825,0.00092825
41,232.592,0.76422,1.03958,0.92083,0.62398,0.43214,0.59168,0.4714,0.93341,2.23417,0.75708,0.00092,0.00092,0.00092
42,233.445,0.79328,1.08341,0.92793,0.62606,0.44119,0.57945,0.4614,0.97183,2.33472,0.76174,0.00091175,0.00091175,0.00091175
43,234.267,0.79924,1.01905,0.90759,0.532,0.3507,0.50088,0.38378,0.97075,2.24218,0.75732,0.0009035,0.0009035,0.0009035
44,235.1,0.80437,1.16642,0.95995,0.8195,0.41503,0.56012,0.43309,0.91136,2.05761,0.7451,0.00089525,0.00089525,0.00089525
45,235.919,0.81168,1.0708,0.92827,0.8195,0.41503,0.56012,0.43309,0.91136,2.05761,0.7451,0.000887,0.000887,0.000887
46,236.741,0.75473,1.05721,0.91997,0.66039,0.52335,0.58816,0.44424,0.91288,1.99112,0.75982,0.00087875,0.00087875,0.00087875
47,237.56,0.78969,0.97653,0.92344,0.58469,0.46354,0.55711,0.41016,0.8702,1.93346,0.76154,0.0008705,0.0008705,0.0008705
48,238.443,0.84124,1.03731,0.9315,0.59852,0.46429,0.48177,0.38863,0.78412,1.97078,0.73172,0.00086225,0.00086225,0.00086225
49,239.318,0.72165,0.9966,0.90977,0.59852,0.46429,0.48177,0.38863,0.78412,1.97078,0.73172,0.000854,0.000854,0.000854
50,240.217,0.73615,1.05098,0.91564,0.36841,0.58929,0.46459,0.39148,0.79617,1.99491,0.72251,0.00084575,0.00084575,0.00084575
51,241.076,0.80468,1.03126,0.92632,0.48003,0.64785,0.49945,0.41723,0.79875,1.88966,0.7347,0.0008375,0.0008375,0.0008375
52,241.93,0.81625,0.97405,0.91253,0.50982,0.65624,0.51744,0.41455,0.77798,1.76366,0.73102,0.00082925,0.00082925,0.00082925
53,242.805,0.76693,0.97905,0.9442,0.50982,0.65624,0.51744,0.41455,0.77798,1.76366,0.73102,0.000821,0.000821,0.000821
54,243.646,0.70601,0.90462,0.86044,0.53652,0.66104,0.52815,0.4152,0.78437,1.76203,0.74198,0.00081275,0.00081275,0.00081275
55,244.465,0.73938,0.96823,0.95392,0.49994,0.67262,0.51426,0.4003,0.78682,1.7999,0.74617,0.0008045,0.0008045,0.0008045
56,245.299,0.76995,0.90109,0.9055,0.54756,0.63761,0.5376,0.42806,0.79218,1.78251,0.72437,0.00079625,0.00079625,0.00079625
